x,y,z,heading_angle,speed,curvature,longitude, latitude,altitude,attribute
247100.8206,3488525.962,13.747619,105.929047,0,0.000946,120.33723,31.503943,13.747619,0
247100.7785,3488526.124,13.747143,105.938095,0,0.000947,120.337229,31.503945,13.747143,0
247100.7365,3488526.285,13.746667,105.947143,0,0.000949,120.337229,31.503946,13.746667,0
247100.6944,3488526.446,13.74619,105.956666,0,0.001,120.337228,31.503948,13.74619,0
247100.6524,3488526.606,13.745714,105.966666,0,0.001051,120.337228,31.503949,13.745714,0
247100.6104,3488526.767,13.745238,105.977143,0,0.001104,120.337227,31.503951,13.745238,0
247100.5685,3488526.927,13.744762,105.988095,0,0.001155,120.337227,31.503952,13.744762,0
247100.5265,3488527.087,13.744286,105.999524,0,0.001207,120.337226,31.503954,13.744286,0
247100.4847,3488527.246,13.74381,106.010953,0,0.001209,120.337226,31.503955,13.74381,0
247100.4429,3488527.405,13.743333,106.022857,0,0.001262,120.337225,31.503956,13.743333,0
247100.4011,3488527.564,13.742857,106.034762,0,0.001264,120.337225,31.503958,13.742857,0
247100.3594,3488527.723,13.742381,106.047143,0,0.001317,120.337224,31.503959,13.742381,0
247100.3178,3488527.881,13.741905,106.059524,0,0.00132,120.337224,31.503961,13.741905,0
247100.2762,3488528.039,13.741429,106.071905,0,0.001324,120.337224,31.503962,13.741429,0
247100.2347,3488528.197,13.740952,106.08381,0,0.001276,120.337223,31.503963,13.740952,0
247100.1932,3488528.353,13.74,106.095714,0,0.00128,120.337223,31.503965,13.74,0
247100.1518,3488528.51,13.739048,106.107619,0,0.001284,120.337222,31.503966,13.739048,0
247100.1106,3488528.665,13.738571,106.119524,0,0.001292,120.337222,31.503968,13.738571,0
247100.0695,3488528.82,13.738095,106.131429,0,0.001299,120.337221,31.503969,13.738095,0
247100.0287,3488528.973,13.737619,106.143333,0,0.001309,120.337221,31.50397,13.737619,0
247099.9889,3488529.123,13.737143,106.155238,0,0.001343,120.33722,31.503972,13.737143,0
247099.9487,3488529.274,13.736667,106.167143,0,0.00133,120.33722,31.503973,13.736667,0
247099.9095,3488529.421,13.73619,106.178571,0,0.001314,120.337219,31.503974,13.73619,0
